Модель;Цена, долл;Пробег, мили;Год;Объём двигателя, л;Мощность, л.с;Топливо
Renault Sandero II Рестайлинг Stepway;0,00;10418,74;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11465,37;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8697,74;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11025,31;2020;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10418,74;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11215,60;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10418,74;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9066,44;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10299,80;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10894,48;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10787,44;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9173,48;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11691,34;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11215,60;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9705,12;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;10823,12;2020;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10775,54;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9697,99;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;9598,08;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9601,65;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9987,00;2021;1,6;82;Бензин
Renault Sandero I;74580,48;3687,00;2012;1,4;75;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11215,60;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10418,74;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12048,15;2020;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11215,60;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12048,15;2020;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11572,41;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;10609,03;2020;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11203,71;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10192,76;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9697,99;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11453,47;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10311,69;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11691,34;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9066,44;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;10326,22;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12918,99;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;9419,68;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11275,07;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12066,23;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11084,77;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10609,03;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11447,57;2020;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;10278,64;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10763,65;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10858,80;2020;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;11377,60;2020;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11834,07;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10702,99;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11569,44;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;11382,11;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10668,50;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10192,76;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11691,34;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;9419,68;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8794,08;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;10823,12;2020;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10418,74;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8891,25;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8170,86;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;9357,59;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;9898,01;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9206,55;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9907,31;2021;1,6;102;Бензин
Renault Sandero II;28855,19;6363,04;2015;1,2;75;Бензин
Renault Sandero II Рестайлинг Stepway;21131,14;9039,09;2019;1,6;113;Бензин
Renault Sandero II Рестайлинг;13673,09;9039,09;2019;1,6;113;Бензин
Renault Sandero II;50963,33;5589,96;2014;1,6;102;Бензин
Renault Sandero I;96123,68;4935,82;2010;1,6;84;Бензин
Renault Sandero II;24860,16;8979,62;2017;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8277,90;2020;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9039,09;2021;1,6;82;Бензин
Renault Sandero I;65879,43;3924,87;2012;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10299,80;2021;1,6;102;Бензин
Renault Sandero II Stepway;51211,93;7790,26;2015;1,6;82;Бензин
Renault Sandero II;22776,88;8503,88;2017;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10573,35;2021;1,6;113;Бензин
Renault Sandero II Stepway;20820,39;8028,14;2016;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;37888,13;10204,65;2019;1,6;113;Бензин
Renault Sandero II Рестайлинг;5966,44;9871,63;2019;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9819,14;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9348,32;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;37182,72;10216,55;2019;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10573,35;2021;1,6;113;Бензин
Renault Sandero II;28589,19;6422,51;2015;1,6;82;Бензин
Renault Sandero II;106953,39;5352,09;2015;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9090,23;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9003,41;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9467,25;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10299,80;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9705,12;2021;1,6;113;Бензин
Renault Sandero II Stepway;34182,72;8563,23;2018;1,6;82;Бензин
Renault Sandero I;68738,35;4043,80;2012;1,4;75;Бензин
Renault Sandero II;17402,11;7362,10;2018;1,6;82;Бензин
Renault Sandero II;56556,87;7968,67;2017;1,6;82;Бензин
Renault Sandero II;13673,09;8028,14;2017;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9003,41;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9324,53;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8170,86;2021;1,6;82;Бензин
Renault Sandero I Stepway;38568,68;6541,44;2014;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9688,03;2021;1,6;113;Бензин
Renault Sandero II;19266,63;8266,01;2018;1,6;102;Бензин
Renault Sandero II;36047,23;7492,93;2016;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10597,90;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9688,03;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8147,07;2020;1,6;113;Бензин
Renault Sandero II;27222,50;7124,23;2016;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10887,03;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;2562,46;9752,70;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8028,14;2020;1,6;113;Бензин
Renault Sandero II;23990,06;8920,15;2015;1,6;82;Бензин
Renault Sandero I Stepway;51957,74;4959,60;2011;1,6;84;Бензин
Renault Sandero II;39599,13;6386,83;2015;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10054,40;2021;1,6;102;Бензин
Renault Sandero II;68365,44;5316,41;2016;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8503,88;2020;1,6;113;Бензин
Renault Sandero II Stepway;57364,82;8075,71;2018;1,6;113;Бензин
Renault Sandero II Stepway;34613,42;9859,74;2018;1,6;82;Бензин
Renault Sandero II Рестайлинг;19658,17;9098,55;2018;1,6;102;Бензин
Renault Sandero II;52827,84;6065,70;2015;1,6;82;Бензин
Renault Sandero I;74580,48;4150,84;2010;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8717,96;2021;1,6;82;Бензин
Renault Sandero II Stepway;52827,84;8051,92;2014;1,6;82;Бензин
Renault Sandero II Stepway;40397,76;8313,58;2017;1,6;113;Бензин
Renault Sandero I;72899,94;5173,69;2014;1,4;75;Бензин
Renault Sandero II Stepway;49098,82;8205,35;2016;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7960,34;2021;1,6;102;Бензин
Renault Sandero II Stepway;16159,11;9657,55;2018;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7829,51;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8186,32;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7829,51;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7353,77;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8186,32;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7127,79;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8340,94;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7246,73;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7722,47;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7758,15;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9491,04;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7960,34;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9324,53;2021;1,6;102;Бензин
Renault Sandero I Stepway;54692,36;5792,15;2014;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8031,70;2021;1,6;82;Бензин
Renault Sandero I Stepway;108627,10;5102,33;2011;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7127,79;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;8863,06;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10242,71;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8150,64;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8150,64;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9324,53;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;7576,18;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7353,77;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;6901,82;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8186,32;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7722,47;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;7294,30;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8170,86;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9110,45;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7246,73;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;7932,99;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7353,77;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7722,47;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8126,85;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;8527,66;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7829,51;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7722,47;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;6901,82;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7211,05;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7246,73;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8983,19;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7127,79;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8126,85;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7829,51;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9550,51;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8186,32;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7829,51;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;6937,50;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8186,32;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7127,79;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8079,28;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;7888,98;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7960,34;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;8527,66;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8170,86;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;7576,18;2021;1,6;82;Бензин
Renault Sandero I;195773,77;4162,74;2012;1,4;75;Бензин
Renault Sandero I;57257,30;4043,80;2012;1,4;75;Бензин
Renault Sandero I;32939,71;3092,32;2011;1,6;84;Бензин
Renault Sandero I;34804,23;5352,09;2011;1,6;84;Бензин
Renault Sandero I Stepway;91671,85;5708,90;2012;1,6;84;Бензин
Renault Sandero I;89573,65;4448,18;2012;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;42106,90;9954,89;2019;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;7040,97;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;7397,78;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;8051,92;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;8801,22;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9003,41;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;9358,90;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9105,81;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;9181,81;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;8587,13;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;7397,78;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;16228,09;10406,84;2018;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;7576,18;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;9181,81;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;8051,92;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;8051,92;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;7637,04;9384,00;2019;1,6;82;Бензин
Renault Sandero I Stepway;52827,84;5946,77;2013;1,6;84;Бензин
Renault Sandero II;68365,44;7136,12;2014;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;4692,36;10704,18;2019;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9705,12;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10216,55;2021;1,6;82;Бензин
Renault Sandero I Stepway;66149,78;5447,24;2013;1,6;84;Бензин
Renault Sandero I;32939,71;4388,71;2012;1,4;75;Бензин
Renault Sandero II;32318,21;8087,60;2018;1,6;82;Бензин
Renault Sandero I;48477,32;4162,74;2011;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;29210,69;8301,69;2018;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;16780,61;8622,81;2018;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8706,07;2020;1,6;82;Бензин
Renault Sandero I;55216,90;4259,07;2011;1,6;84;Бензин
Renault Sandero I;100587,32;3567,94;2011;1,6;103;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7398,73;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8491,98;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;7873,52;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9090,23;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8111,39;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10263,76;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8955,83;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9907,31;2021;1,6;102;Бензин
Renault Sandero II Stepway;11870,73;8646,60;2017;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;6922,04;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9324,53;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8170,86;2021;1,6;82;Бензин
Renault Sandero II;43505,28;9098,55;2017;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8984,03;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;6565,23;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8170,86;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9431,57;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9324,53;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;7932,99;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9003,41;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;8289,79;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;8156,74;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг;0,00;8290,60;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10128,89;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8051,92;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8337,37;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8984,03;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11213,72;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10276,01;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9234,14;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12141,40;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг;27967,68;10109,50;2019;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;20233,69;10692,29;2019;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10787,44;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12107,62;2020;1,6;102;Бензин
Renault Sandero I;91467,99;4424,39;2012;1,6;84;Бензин
Renault Sandero II Рестайлинг;0,00;9824,06;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11013,41;2020;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11144,24;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11691,34;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10787,44;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11144,24;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11917,32;2020;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11441,58;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10656,61;2020;1,6;113;Бензин
Renault Sandero II;62150,40;4638,48;2016;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11013,41;2020;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11013,41;2020;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;18210,07;9990,57;2019;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11560,51;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;6025,26;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11144,24;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10656,61;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11025,31;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8758,40;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10787,44;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9234,14;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8689,42;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11251,28;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7904,44;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12407,77;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11560,51;2020;1,6;113;Бензин
Renault Sandero I;59042,88;4935,82;2013;1,4;75;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9590,95;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8689,42;2021;1,6;102;Бензин
Renault Sandero I;73958,98;3151,79;2010;1,4;75;Бензин
Renault Sandero II Рестайлинг;0,00;7297,87;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10656,61;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10656,61;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10537,67;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9590,95;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7963,91;2021;1,6;82;Бензин
Renault Sandero II Stepway;61528,90;7017,18;2015;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11013,41;2020;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8736,99;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7737,93;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11917,32;2020;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11084,77;2020;1,6;113;Бензин
Renault Sandero II Stepway;54878,81;7124,23;2016;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11917,32;2020;1,6;102;Бензин
Renault Sandero I Stepway;24238,66;7136,12;2014;1,6;103;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11750,81;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;8289,79;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;8824,74;10573,35;2019;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12048,15;2021;1,6;102;Бензин
Renault Sandero I Stepway;87010,57;5352,09;2012;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8332,61;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9781,24;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7856,87;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7737,93;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12048,15;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг;0,00;8289,79;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;10656,61;2020;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7963,91;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;11144,24;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8796,46;2021;1,6;102;Бензин
Renault Sandero I;102548,17;4281,67;2011;1,6;84;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8689,42;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7856,87;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8689,42;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8439,65;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7963,91;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;93,23;12131,40;2020;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8689,42;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9003,41;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8570,48;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8717,96;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8170,86;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7856,87;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;7856,87;2021;1,6;82;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;12321,70;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9550,51;2021;1,6;113;Бензин
Renault Sandero I;70851,46;4507,65;2012;1,4;75;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9003,41;2021;1,6;102;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;8689,42;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг;0,00;7932,99;2021;1,6;113;Бензин
Renault Sandero II Рестайлинг Stepway;0,00;9367,47;2021;1,6;113;Бензин
Renault Sandero I;67743,94;6065,70;2011;1,6;103;Бензин
